transaction_id,account_id,date,amount,type,description
TXN0001,ACCT001,2026-01-15,2800.00,ach_credit,Payroll deposit - Analytical Engines Ltd
TXN0017,ACCT002,2026-01-15,3500.00,ach_credit,Payroll deposit - Tesla Electric Co
TXN0036,ACCT003,2026-01-15,4000.00,ach_credit,Payroll deposit - Cambridge University
TXN0051,ACCT004,2026-01-15,1800.00,ach_credit,Payroll deposit - Tanaka Consulting
TXN0066,ACCT005,2026-01-15,3800.00,ach_credit,Payroll deposit - Institut du Radium
TXN0082,ACCT006,2026-01-15,3200.00,ach_credit,Payroll deposit - Renaissance Studios
TXN0100,ACCT007,2026-01-15,4500.00,ach_credit,Payroll deposit - The Academy
TXN0115,ACCT008,2026-01-15,2800.00,ach_credit,Pension deposit - Royal Literary Fund
TXN0126,ACCT009,2026-01-15,4500.00,ach_credit,Payroll deposit - Publisher Corp
TXN0142,ACCT010,2026-01-15,2800.00,ach_credit,Payroll deposit - Strategic Solutions
TXN0170,ACCT011,2026-01-15,3000.00,ach_credit,Payroll deposit - Gothic Publishing
TXN0186,ACCT012,2026-01-15,500.00,ach_credit,Transfer from family
TXN0073,ACCT005,2026-01-17,2200.00,ach_debit,Mortgage and bills autopay
TXN0149,ACCT010,2026-01-17,55.00,ach_debit,Streaming service
TXN0024,ACCT002,2026-01-19,1200.00,ach_debit,Rent payment
TXN0057,ACCT004,2026-01-19,800.00,ach_debit,Rent payment
TXN0089,ACCT006,2026-01-19,1500.00,ach_debit,Rent payment
TXN0133,ACCT009,2026-01-19,1800.00,ach_debit,Rent payment
TXN0152,ACCT010,2026-01-19,120.00,ach_debit,Gym membership
TXN0045,ACCT003,2026-01-21,800.00,ach_debit,Mortgage payment
TXN0155,ACCT010,2026-01-21,85.00,ach_debit,Cloud storage
TXN0027,ACCT002,2026-01-22,250.00,ach_debit,Car payment
TXN0107,ACCT007,2026-01-22,1800.00,ach_debit,Rent payment
TXN0177,ACCT011,2026-01-22,1100.00,ach_debit,Rent payment
TXN0008,ACCT001,2026-01-24,150.00,ach_debit,Phone bill
TXN0060,ACCT004,2026-01-24,200.00,ach_debit,Utilities
TXN0092,ACCT006,2026-01-24,180.00,ach_debit,Internet and phone
TXN0122,ACCT008,2026-01-24,95.00,ach_debit,Newspaper subscription
TXN0158,ACCT010,2026-01-24,200.00,ach_debit,Phone bill
TXN0043,ACCT003,2026-01-26,350.00,cash_deposit,Cash deposit - birthday gift
TXN0136,ACCT009,2026-01-26,350.00,ach_debit,Car insurance
TXN0161,ACCT010,2026-01-26,150.00,ach_debit,Insurance
TXN0180,ACCT011,2026-01-26,250.00,ach_debit,Utilities
TXN0002,ACCT001,2026-01-29,2800.00,ach_credit,Payroll deposit - Analytical Engines Ltd
TXN0018,ACCT002,2026-01-29,3500.00,ach_credit,Payroll deposit - Tesla Electric Co
TXN0037,ACCT003,2026-01-29,4000.00,ach_credit,Payroll deposit - Cambridge University
TXN0052,ACCT004,2026-01-29,1800.00,ach_credit,Payroll deposit - Tanaka Consulting
TXN0067,ACCT005,2026-01-29,3800.00,ach_credit,Payroll deposit - Institut du Radium
TXN0083,ACCT006,2026-01-29,3200.00,ach_credit,Payroll deposit - Renaissance Studios
TXN0101,ACCT007,2026-01-29,4500.00,ach_credit,Payroll deposit - The Academy
TXN0113,ACCT007,2026-01-29,300.00,cash_withdrawal,ATM withdrawal
TXN0118,ACCT008,2026-01-29,450.00,check_withdrawal,Check #3001 - Household
TXN0127,ACCT009,2026-01-29,4500.00,ach_credit,Payroll deposit - Publisher Corp
TXN0143,ACCT010,2026-01-29,2800.00,ach_credit,Payroll deposit - Strategic Solutions
TXN0164,ACCT010,2026-01-29,1200.00,ach_debit,Rent payment
TXN0171,ACCT011,2026-01-29,3000.00,ach_credit,Payroll deposit - Gothic Publishing
TXN0189,ACCT012,2026-01-29,45.00,ach_debit,Spotify
TXN0074,ACCT005,2026-01-31,2200.00,ach_debit,Mortgage and bills autopay
TXN0011,ACCT001,2026-02-03,85.00,ach_debit,Streaming subscription
TXN0063,ACCT004,2026-02-03,150.00,cash_withdrawal,ATM withdrawal
TXN0095,ACCT006,2026-02-03,200.00,cash_withdrawal,ATM withdrawal
TXN0125,ACCT008,2026-02-03,200.00,cash_withdrawal,ATM withdrawal
TXN0167,ACCT010,2026-02-03,75.00,ach_debit,Newsletter subscription
TXN0192,ACCT012,2026-02-03,120.00,ach_debit,Textbook purchase
TXN0030,ACCT002,2026-02-05,450.00,check_withdrawal,Check #1001 - Equipment
TXN0079,ACCT005,2026-02-08,100.00,ach_debit,Lab supplies subscription
TXN0110,ACCT007,2026-02-08,5000.00,cash_deposit,Cash deposit - lecture fees
TXN0140,ACCT009,2026-02-08,600.00,check_withdrawal,Check #4001 - Furniture
TXN0185,ACCT011,2026-02-08,350.00,check_withdrawal,Check #5001 - Research materials
TXN0003,ACCT001,2026-02-12,2800.00,ach_credit,Payroll deposit - Analytical Engines Ltd
TXN0019,ACCT002,2026-02-12,3500.00,ach_credit,Payroll deposit - Tesla Electric Co
TXN0038,ACCT003,2026-02-12,4000.00,ach_credit,Payroll deposit - Cambridge University
TXN0053,ACCT004,2026-02-12,1800.00,ach_credit,Payroll deposit - Tanaka Consulting
TXN0068,ACCT005,2026-02-12,3800.00,ach_credit,Payroll deposit - Institut du Radium
TXN0084,ACCT006,2026-02-12,3200.00,ach_credit,Payroll deposit - Renaissance Studios
TXN0102,ACCT007,2026-02-12,4500.00,ach_credit,Payroll deposit - The Academy
TXN0128,ACCT009,2026-02-12,4500.00,ach_credit,Payroll deposit - Publisher Corp
TXN0144,ACCT010,2026-02-12,2800.00,ach_credit,Payroll deposit - Strategic Solutions
TXN0172,ACCT011,2026-02-12,3000.00,ach_credit,Payroll deposit - Gothic Publishing
TXN0098,ACCT006,2026-02-13,450.00,check_withdrawal,Check #2001 - Art supplies
TXN0194,ACCT012,2026-02-13,60.00,cash_withdrawal,ATM withdrawal
TXN0075,ACCT005,2026-02-14,2200.00,ach_debit,Mortgage and bills autopay
TXN0116,ACCT008,2026-02-14,2800.00,ach_credit,Pension deposit - Royal Literary Fund
TXN0187,ACCT012,2026-02-14,500.00,ach_credit,Transfer from family
